"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"251400_at";6500;NA;NA;NA;NA;NA;NA;3.2393;0.0742;"0,0001";NA;NA;NA
"251402_at";6502;NA;NA;NA;3.835;0.0292;"0";NA;NA;NA;NA;NA;NA
"251428_at";6528;0.4646;"0.0817";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251436_at";6536;NA;NA;NA;0.2466;0.029;"0";0.1543;0.0118;"0";0.501;"0.0062";"0,0001"
"251438_s_at";6538;0.0468;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251517_at";6617;0.4319;"0.0565";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251705_at";6805;2.3049;"0.0848";"0,0006";NA;NA;NA;NA;NA;NA;0.5865;"0.0276";"0.0011"
"251745_at";6845;2.1362;"0.0779";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251770_at";6870;NA;NA;NA;NA;NA;NA;0.293;0.0991;"0,0004";0.436;"0.0031";"0,0001"
"251824_at";6924;NA;NA;NA;0.2926;0.0486;"0";NA;NA;NA;NA;NA;NA
"251856_at";6956;NA;NA;NA;NA;NA;NA;2.8645;0.0818;"0,0002";1.5382;"0.0184";"0,0003"
"251857_at";6957;0.4924;"0.0936";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251899_at";6999;NA;NA;NA;NA;NA;NA;0.231;0.0475;"0,0001";0.2885;"0,0002";"0"
"251928_at";7028;0.1814;"0.0033";"0";NA;NA;NA;NA;NA;NA;0.4861;"0.0059";"0,0001"
"251941_at";7041;0.1365;"0.0017";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251977_at";7077;0.3462;"0.0277";"0,0001";NA;NA;NA;NA;NA;NA;0.1147;"0";"0"
"252011_at";7111;NA;NA;NA;NA;NA;NA;0.2633;0.0775;"0,0002";0.0966;"0";"0"
"252058_at";7158;NA;NA;NA;4.7563;0.0172;"0";3.6164;0.0327;"0";1.3664;"0.0673";"0.002"
"252073_at";7173;0.2755;"0.0054";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"252114_at";7214;2.0455;"0.0855";"0,0006";NA;NA;NA;NA;NA;NA;1.3319;"0.0858";"0.003"
"252167_at";7267;NA;NA;NA;3.8804;0.0251;"0";NA;NA;NA;6.4545;"0";"0"
"252168_at";7268;2.4012;"0.0518";"0,0002";NA;NA;NA;NA;NA;NA;0.2874;"0,0002";"0"
"252300_at";7400;0.1942;"0.0021";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"252340_at";7440;1.9724;"0.0931";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"252368_at";7468;NA;NA;NA;0.3405;0.0904;"0,0001";NA;NA;NA;NA;NA;NA
"252534_at";7634;0.4256;"0.0588";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
