"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"263023_at";"18123";"1.005";"1.6427";"0.5619";"1.3107";"0.4529"
"263024_at";"18124";"1.0977";"1.0605";"0.785";"0.8164";"0.1769"
"263025_at";"18125";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263026_at";"18126";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263027_at";"18127";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263028_at";"18128";"1.0422";"1.0565";"0.7265";"1.2984";"0.4436"
"263029_at";"18129";"0.9851";"1.5212";"0.4386";"1.4395";"0.5561"
"263030_at";"18130";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263031_at";"18131";"0.568";"0.0141";"0.0004";"1.0293";"1"
"263032_at";"18132";"1.2156";"1.1019";"0.9724";"0.2522";"0.0196"
"263033_s_at";"18133";"0.9752";"1.429";"0.3788";"1.485";"0.6749"
"263034_at";"18134";"0.9775";"1.5838";"0.4989";"1.4842";"0.6058"
"263035_at";"18135";"1.2278";"1.0444";"0.9982";"0.2424";"0.0179"
"263036_at";"18136";"1.1694";"1.0776";"0.9909";"0.3467";"0.035"
"263037_at";"18137";"1.1402";"1.076";"0.9914";"0.4323";"0.054"
"263038_at";"18138";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263039_at";"18139";"0.7327";"0.1346";"0.0083";"1.1089";"0.9748"
"263040_at";"18140";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263041_at";"18141";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263042_at";"18142";"0.9855";"1.3458";"0.3315";"1.0975";"0.9272"
"263043_at";"18143";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263044_at";"18144";"1.0041";"1.6614";"0.6265";"1.4296";"0.5478"
"263045_at";"18145";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263046_at";"18146";"1.3587";"1.0255";"0.9997";"0.0754";"0.0024"
"263047_at";"18147";"1.1297";"1.0522";"0.7574";"0.607";"0.0995"
"263048_s_at";"18148";"1.1973";"1.1081";"0.9322";"0.3221";"0.0308"
"263049_at";"18149";"1.1833";"1.1013";"0.9731";"0.3704";"0.04"
"263050_at";"18150";"1.1278";"1.0982";"0.8808";"0.5262";"0.0766"
"263051_s_at";"18151";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263052_at";"18152";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263053_at";"18153";"1.0969";"1.0588";"0.7808";"0.696";"0.129"
"263054_at";"18154";"1.0604";"1.0605";"0.7853";"1.0637";"0.2946"
"263055_at";"18155";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263056_at";"18156";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263057_at";"18157";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263058_at";"18158";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263059_at";"18159";"1";"1.0661";"0.7456";"1.4883";"0.6642"
"263060_s_at";"18160";"1.2109";"1.0453";"0.9981";"0.2586";"0.0206"
"263061_at";"18161";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263062_at";"18162";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263063_s_at";"18163";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263064_at";"18164";"1.0944";"1.1001";"0.9737";"0.668";"0.1202"
"263065_at";"18165";"0.9545";"1.1504";"0.2417";"1.074";"0.8786"
"263066_at";"18166";"0.8998";"0.7901";"0.1199";"1.0793";"0.8908"
"263067_at";"18167";"0.7095";"0.0834";"0.0045";"1.0583";"0.9994"
"263068_at";"18168";"0.9992";"1.6457";"0.5752";"1.0441";"0.8101"
"263069_at";"18169";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263070_at";"18170";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263071_at";"18171";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263072_at";"18172";"1.0343";"1.6292";"0.5438";"1.183";"0.3661"
"263073_at";"18173";"0.953";"1.254";"0.2865";"1.075";"0.8806"
"263074_at";"18174";"1.0267";"1.0489";"0.7146";"1.2438";"0.4057"
"263075_at";"18175";"1.0653";"1.1065";"0.9184";"0.9772";"0.2495"
"263076_at";"18176";"1.0382";"1.0488";"0.7149";"0.9883";"0.2548"
"263077_at";"18177";"1.0757";"1.086";"0.8467";"0.8893";"0.2078"
"263078_at";"18178";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263079_at";"18179";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263080_at";"18180";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263081_at";"18181";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263082_at";"18182";"1.0642";"1.0652";"0.7376";"0.9055";"0.2156"
"263083_at";"18183";"1.0513";"1.0825";"0.8369";"1.0791";"0.3038"
"263084_at";"18184";"1.0419";"1.0416";"0.7045";"1.2196";"0.3888"
"263085_at";"18185";"1.0451";"1.6401";"0.5992";"1.2094";"0.382"
"263086_at";"18186";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263087_s_at";"18187";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263088_at";"18188";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263089_at";"18189";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263090_at";"18190";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263091_at";"18191";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263092_at";"18192";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263093_at";"18193";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263094_at";"18194";"1.0701";"1.0741";"0.8166";"1.1678";"0.3563"
"263095_at";"18195";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263096_at";"18196";"0.7843";"0.1538";"0.0101";"1.0595";"0.9993"
"263097_at";"18197";"0.9275";"0.887";"0.148";"1.0263";"0.7791"
"263098_at";"18198";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263099_at";"18199";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263100_at";"18200";"1.0711";"1.06";"0.7829";"0.9605";"0.241"
"263101_s_at";"18201";"0.9611";"1.1655";"0.2485";"1.079";"0.8905"
"263102_at";"18202";"0.9898";"1.5895";"0.5033";"1.0444";"0.8099"
"263103_at";"18203";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263104_at";"18204";"0.8848";"0.8226";"0.1293";"1.0426";"0.8109"
"263105_at";"18205";"0.9514";"1.4698";"0.4025";"1.508";"0.7012"
"263106_at";"18206";"1.1019";"1.1086";"0.9543";"0.663";"0.1182"
"263107_at";"18207";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263108_at";"18208";"0.994";"1.6287";"0.543";"1.0426";"0.8216"
"263109_at";"18209";"0.9963";"1.6447";"0.5653";"1.0427";"0.8216"
"263110_at";"18210";"1.275";"1.036";"0.9991";"0.145";"0.0073"
"263111_s_at";"18211";"0.9607";"1.1575";"0.2447";"1.1062";"0.9506"
"263112_at";"18212";"0.9559";"0.9507";"0.1677";"1.0255";"0.7778"
"263113_at";"18213";"1.0681";"1.0842";"0.8415";"0.9589";"0.2401"
"263114_at";"18214";"0.9253";"0.806";"0.1241";"1.1083";"0.9755"
"263115_at";"18215";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263116_s_at";"18216";"1.0621";"1.0313";"0.6928";"0.927";"0.2263"
"263117_at";"18217";"0.9197";"0.882";"0.1462";"1.0898";"0.9074"
"263118_at";"18218";"1.5161";"1.0102";"1";"0.0182";"0.0003"
"263119_at";"18219";"0.9393";"1.0909";"0.2173";"1.0591";"0.8473"
"263120_at";"18220";"0.6334";"0.0267";"0.001";"1.0344";"1"
"263121_at";"18221";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263122_at";"18222";"1.1029";"1.0901";"0.856";"0.7469";"0.1482"
"263123_at";"18223";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263124_at";"18224";"0.6069";"0.0228";"0.0008";"1.0367";"0.9999"
"263125_at";"18225";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263126_at";"18226";"0.7527";"0.1053";"0.006";"1.052";"0.9996"
"263127_at";"18227";"0.7953";"0.2588";"0.0212";"1.1047";"0.9828"
"263128_at";"18228";"0.9";"0.6877";"0.0943";"1.1092";"0.9651"
"263129_at";"18229";"1.0596";"1.0523";"0.7571";"0.9931";"0.2579"
"263130_at";"18230";"1.1184";"1.1009";"0.8928";"0.6279";"0.1068"
"263131_at";"18231";"1.0271";"1.0661";"0.7969";"1.2766";"0.4288"
"263132_at";"18232";"1.1958";"1.1088";"0.9537";"0.3297";"0.0319"
"263133_at";"18233";"2.6984";"1.0033";"1";"0.0001";"0"
"263134_at";"18234";"1.0406";"1.0567";"0.7763";"1.0996";"0.3152"
"263135_at";"18235";"0.8617";"0.4642";"0.0514";"1.1081";"0.9781"
"263136_at";"18236";"0.8494";"0.3663";"0.0353";"1.0974";"0.9906"
"263137_at";"18237";"1.0464";"1.6059";"0.5201";"1.0001";"0.2617"
"263138_at";"18238";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263139_at";"18239";"1.0001";"1.0574";"0.7501";"1.4903";"0.6635"
"263140_at";"18240";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263141_at";"18241";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263142_at";"18242";"1.2421";"1.0382";"0.9988";"0.1928";"0.0119"
"263143_at";"18243";"1.206";"1.0828";"0.8384";"0.334";"0.0325"
"263144_at";"18244";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263145_at";"18245";"1.0405";"1.0523";"0.7563";"0.9064";"0.2159"
"263146_at";"18246";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263147_at";"18247";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263148_at";"18248";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263149_at";"18249";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263150_at";"18250";"1.2211";"1.574";"0.4884";"0.4187";"0.0507"
"263151_at";"18251";"1.3564";"1.0552";"0.9966";"0.0879";"0.0031"
"263152_at";"18252";"1.1261";"1.0697";"0.8052";"0.5029";"0.0711"
"263153_s_at";"18253";"0.872";"0.5712";"0.0708";"1.1036";"0.9439"
"263154_at";"18254";"1.0599";"1.1013";"0.8938";"0.9302";"0.228"
"263155_at";"18255";"0.9379";"1.0144";"0.1882";"1.0696";"0.8682"
"263156_at";"18256";"0.8214";"0.3615";"0.0347";"1.1091";"0.9652"
"263157_at";"18257";"1.1279";"1.077";"0.9911";"0.483";"0.0665"
"263158_at";"18258";"0.7237";"0.1743";"0.0122";"1.1091";"0.9724"
"263159_at";"18259";"0.8018";"0.1885";"0.0136";"1.065";"0.9989"
"263160_at";"18260";"1.0001";"1.6357";"0.5911";"1.3769";"0.5052"
"263161_at";"18261";"0.7859";"0.1928";"0.014";"1.0933";"0.9931"
"263162_at";"18262";"1.0872";"1.109";"0.9466";"0.7332";"0.143"
"263163_at";"18263";"1.0004";"1.5955";"0.5103";"1.2763";"0.4291"
"263164_at";"18264";"1.014";"1.0682";"0.8021";"1.4048";"0.5279"
"263165_at";"18265";"1.1518";"1.103";"0.9004";"0.5353";"0.079"
"263166_at";"18266";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263167_at";"18267";"1.068";"1.0553";"0.7244";"0.7431";"0.1469"
"263168_at";"18268";"0.9989";"1.5724";"0.485";"1.0682";"0.866"
"263169_at";"18269";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263170_at";"18270";"1.1012";"1.0738";"0.8155";"0.7759";"0.1594"
"263171_at";"18271";"0.9249";"0.8758";"0.1444";"1.0939";"0.9185"
"263172_at";"18272";"1.0256";"1.0531";"0.754";"1.1392";"0.3374"
"263173_at";"18273";"1.0033";"1.6876";"0.6796";"1.4441";"0.563"
"263174_at";"18274";"0.9795";"1.6426";"0.5618";"1.405";"0.5281"
"263175_at";"18275";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263176_at";"18276";"1.0011";"1.0542";"0.7528";"1.5074";"0.6494"
"263177_at";"18277";"1.0273";"1.1062";"0.9113";"1.152";"0.3464"
"263178_at";"18278";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263179_at";"18279";"1.7763";"1.008";"1";"0.0024";"0"
"263180_at";"18280";"1.082";"1.0532";"0.7663";"0.6218";"0.1047"
"263181_at";"18281";"1.0136";"1.6345";"0.5929";"1.2874";"0.4357"
"263182_at";"18282";"0.7904";"0.2484";"0.0202";"1.0695";"0.868"
"263183_at";"18283";"0.6433";"0.0301";"0.0012";"1.0357";"1"
"263184_at";"18284";"0.7857";"0.2426";"0.0194";"1.1059";"0.981"
"263185_at";"18285";"0.9414";"1.1139";"0.2258";"1.0448";"0.804"
"263186_at";"18286";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263187_at";"18287";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263188_at";"18288";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263189_at";"18289";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263190_at";"18290";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263191_at";"18291";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263192_at";"18292";"0.9719";"1.5518";"0.4671";"1.5113";"0.6398"
"263193_at";"18293";"1.0471";"1.0532";"0.7537";"1.1109";"0.3221"
"263194_at";"18294";"0.9089";"1.1002";"0.2212";"1.4182";"0.5374"
"263195_at";"18295";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263196_at";"18296";"1.3006";"1.0653";"0.9947";"0.1433";"0.0071"
"263197_at";"18297";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263198_at";"18298";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263199_at";"18299";"1.0264";"1.609";"0.5223";"1.2956";"0.4419"
"263200_at";"18300";"1.1924";"1.0905";"0.9829";"0.3627";"0.0384"
"263201_at";"18301";"0.9522";"1.271";"0.2934";"1.0661";"0.86"
"263202_at";"18302";"1.0343";"1.5434";"0.4574";"1.1926";"0.3718"
"263203_at";"18303";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263204_at";"18304";"1.0062";"1.0529";"0.7656";"1.5023";"0.6233"
"263205_at";"18305";"1.0216";"1.0624";"0.7887";"1.3216";"0.4603"
"263206_at";"18306";"1.0044";"1.64";"0.5572";"1.4985";"0.6182"
"263207_at";"18307";"0.5251";"0.01";"0.0003";"1.0297";"1"
"263208_at";"18308";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263209_at";"18309";"1.0539";"1.0683";"0.7424";"1.0466";"0.2852"
"263210_at";"18310";"0.869";"0.6056";"0.0776";"1.1092";"0.9701"
"263211_at";"18311";"1.0001";"1.0622";"0.7483";"1.4941";"0.6621"
"263212_at";"18312";"1.0367";"1.0523";"0.7572";"1.076";"0.3014"
"263213_at";"18313";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263214_at";"18314";"0.3411";"0.0005";"0";"1.0109";"1"
"263215_at";"18315";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263216_s_at";"18316";"5.3308";"1.0013";"1";"0";"0"
"263217_at";"18317";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263218_at";"18318";"0.6944";"0.0522";"0.0025";"1.0447";"0.9999"
"263219_at";"18319";"0.9783";"1.2395";"0.2791";"1.5304";"0.729"
"263220_at";"18320";"1.2537";"1.1054";"0.9093";"0.2296";"0.0162"
"263221_at";"18321";"0.6269";"0.0273";"0.0011";"1.0371";"0.9999"
"263222_at";"18322";"1.0672";"1.0869";"0.8486";"0.8991";"0.2124"
"263223_at";"18323";"0.9322";"0.8891";"0.1487";"1.1073";"0.9577"
"263224_at";"18324";"0.9516";"1.1378";"0.2356";"1.0913";"0.9114"
"263225_at";"18325";"0.4425";"0.0032";"0.0001";"1.016";"1"
"263226_at";"18326";"0.8882";"0.5238";"0.0619";"1.107";"0.9794"
"263227_at";"18327";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263228_at";"18328";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263229_s_at";"18329";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263230_at";"18330";"0.9966";"1.1375";"0.2357";"1.3683";"0.4963"
"263231_at";"18331";"0.9952";"1.6319";"0.5489";"1.0427";"0.819"
"263232_at";"18332";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263233_at";"18333";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263234_at";"18334";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263235_at";"18335";"1.0946";"1.0621";"0.788";"0.7469";"0.1483"
"263236_at";"18336";"1.9355";"1.0049";"1";"0.0006";"0"
"263237_at";"18337";"1.6119";"1.0089";"1";"0.008";"0.0001"
"263238_at";"18338";"0.9997";"1.6878";"0.6795";"1.4932";"0.6832"
"263239_at";"18339";"1.0454";"1.0843";"0.8419";"1.1867";"0.3687"
"263240_s_at";"18340";"1.2531";"1.0522";"0.7559";"0.1775";"0.0103"
"263241_at";"18341";"0.8108";"0.2182";"0.0167";"1.0687";"0.9986"
"263242_at";"18342";"0.9875";"1.5785";"0.4925";"1.4916";"0.6131"
"263243_at";"18343";"1.413";"1.0181";"0.9999";"0.0468";"0.0011"
"263244_at";"18344";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263245_at";"18345";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263246_at";"18346";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263247_at";"18347";"0.9989";"1.6613";"0.629";"1.0417";"0.2822"
"263248_at";"18348";"0.9989";"1.5193";"0.437";"1.3997";"0.5231"
"263249_at";"18349";"1.5208";"1.0128";"1";"0.0183";"0.0003"
"263250_at";"18350";"1.1281";"1.1041";"0.9678";"0.5461";"0.0819"
"263251_at";"18351";"0.8369";"0.2899";"0.0252";"1.0748";"0.9977"
"263252_at";"18352";"1.0222";"1.0324";"0.6938";"1.096";"0.3134"
"263253_at";"18353";"1.0455";"1.0712";"0.8073";"1.076";"0.3013"
"263254_x_at";"18354";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263255_at";"18355";"0.9247";"0.8676";"0.141";"1.1064";"0.9515"
"263256_at";"18356";"1.0765";"1.093";"0.864";"0.8167";"0.1768"
"263257_at";"18357";"1.0006";"1.0543";"0.7527";"1.5025";"0.6585"
"263258_at";"18358";"0.8528";"0.476";"0.0534";"1.101";"0.9378"
"263259_at";"18359";"1.0146";"1.0531";"0.7538";"1.4403";"0.5571"
"263260_at";"18360";"0.8434";"0.3225";"0.0294";"1.0811";"0.9966"
"263261_at";"18361";"0.9702";"1.1241";"0.2304";"1.1071";"0.9571"
"263262_at";"18362";"0.9558";"1.409";"0.3678";"1.0641";"0.8558"
"263263_at";"18363";"1.0001";"1.0588";"0.7495";"1.4871";"0.6646"
"263264_at";"18364";"0.9404";"0.9933";"0.1812";"1.0976";"0.9267"
"263265_at";"18365";"1.0469";"1.0277";"0.6868";"1.1256";"0.3301"
"263266_at";"18366";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263267_at";"18367";"0.9264";"0.9586";"0.17";"1.0621";"0.853"
"263268_at";"18368";"1.0654";"1.0537";"0.768";"1.0451";"0.2842"
"263269_at";"18369";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263270_at";"18370";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263271_s_at";"18371";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263272_at";"18372";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263273_x_at";"18373";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263274_at";"18374";"0.9389";"0.9405";"0.1645";"1.0933";"0.9158"
"263275_at";"18375";"1.3526";"1.0212";"0.9998";"0.0733";"0.0023"
"263276_at";"18376";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263277_at";"18377";"1.0248";"1.6432";"0.6069";"1.2573";"0.4144"
"263278_at";"18378";"0.9627";"1.311";"0.3113";"1.4851";"0.6748"
"263279_x_at";"18379";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263280_x_at";"18380";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263281_at";"18381";"1.5584";"1.0342";"0.9992";"0.016";"0.0002"
"263282_at";"18382";"0.9899";"1.6062";"0.5204";"1.0466";"0.827"
"263283_at";"18383";"0.9852";"1.5896";"0.5032";"1.0492";"0.832"
"263284_at";"18384";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263285_at";"18385";"0.9896";"1.5761";"0.4904";"1.4842";"0.6062"
"263286_at";"18386";"0.9799";"1.5741";"0.488";"1.5039";"0.6577"
"263287_at";"18387";"1.0168";"1.626";"0.541";"1.3245";"0.4637"
"263288_at";"18388";"1.0393";"1.0943";"0.8701";"1.0948";"0.3128"
"263289_at";"18389";"0.9365";"0.8751";"0.144";"1.1089";"0.9747"
"263290_at";"18390";"1.0928";"1.0977";"0.879";"0.9229";"0.2236"
"263291_at";"18391";"1.0031";"1.052";"0.7582";"1.5107";"0.6371"
"263292_at";"18392";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263293_x_at";"18393";"1.0004";"1.0728";"0.8116";"1.4463";"0.5661"
"263294_at";"18394";"1.0015";"1.0525";"0.7554";"1.5072";"0.653"
"263295_at";"18395";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263296_at";"18396";"0.6879";"0.0581";"0.0028";"1.0481";"0.9998"
"263297_at";"18397";"0.8469";"0.3488";"0.0329";"1.0875";"0.995"
"263298_at";"18398";"1.117";"1.1069";"0.9211";"0.5832";"0.0923"
"263299_s_at";"18399";"1.0011";"1.054";"0.7529";"1.5076";"0.6492"
"263300_at";"18400";"1.0006";"1.0545";"0.7525";"1.5016";"0.6588"
"263301_x_at";"18401";"0.9919";"1.6175";"0.531";"1.0444";"0.8242"
"263302_at";"18402";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263303_at";"18403";"1.0384";"1.5835";"0.4984";"0.4191";"0.0508"
"263304_at";"18404";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263305_at";"18405";"0.9551";"1.0534";"0.2025";"1.1037";"0.9439"
"263306_at";"18406";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263307_at";"18407";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263308_at";"18408";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263309_at";"18409";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263310_s_at";"18410";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263311_at";"18411";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263312_at";"18412";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263313_at";"18413";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263314_at";"18414";"1.092";"1.0781";"0.8259";"0.6412";"0.1113"
"263315_at";"18415";"1.2249";"1.0998";"0.974";"0.2511";"0.0193"
"263316_s_at";"18416";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263317_s_at";"18417";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263318_at";"18418";"0.1588";"0";"0";"1.0021";"1"
"263319_at";"18419";"0.1983";"0";"0";"1.0033";"1"
"263320_at";"18420";"0.9905";"1.592";"0.5063";"1.5153";"0.7092"
"263321_at";"18421";"0.9376";"0.9256";"0.1599";"1.1042";"0.9452"
"263322_at";"18422";"1.0119";"1.0812";"0.8337";"1.3594";"0.489"
"263323_at";"18423";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263324_at";"18424";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263325_at";"18425";"0.5648";"0.013";"0.0004";"1.0265";"1"
"263326_at";"18426";"0.9211";"0.7716";"0.115";"1.1075";"0.9784"
"263327_at";"18427";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263328_at";"18428";"0.8964";"0.7667";"0.1136";"1.0922";"0.9135"
"263329_at";"18429";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263330_at";"18430";"0.4496";"0.004";"0.0001";"1.0184";"1"
"263331_at";"18431";"0.9484";"1.3163";"0.3139";"1.4817";"0.6039"
"263332_at";"18432";"0.9829";"1.6427";"0.6016";"1.4446";"0.5627"
"263333_at";"18433";"0.9576";"1.2776";"0.2964";"1.0645";"0.857"
"263334_at";"18434";"0.9406";"0.9589";"0.1702";"1.0919";"0.913"
"263335_x_at";"18435";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263336_x_at";"18436";"1.0005";"1.057";"0.7504";"1.5052";"0.6546"
"263337_at";"18437";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263338_at";"18438";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263339_at";"18439";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263340_at";"18440";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263341_at";"18441";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263342_at";"18442";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263343_at";"18443";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263344_at";"18444";"0.9774";"1.6428";"0.5783";"1.5106";"0.6358"
"263345_s_at";"18445";"1.0305";"1.0354";"0.6971";"1.1735";"0.3605"
"263346_at";"18446";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263347_at";"18447";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263348_at";"18448";"0.9431";"0.9093";"0.155";"1.1088";"0.9637"
"263349_at";"18449";"1.0998";"1.0961";"0.8749";"0.7957";"0.1686"
"263350_at";"18450";"1.2747";"1.0407";"0.9986";"0.1557";"0.0082"
"263351_at";"18451";"1.1356";"1.0721";"0.9927";"0.4767";"0.065"
"263352_at";"18452";"1.0696";"1.1056";"0.9626";"0.8129";"0.1753"
"263353_at";"18453";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263354_at";"18454";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263355_at";"18455";"0.9452";"1.0433";"0.1978";"1.5132";"0.7068"
"263356_at";"18456";"0.9378";"1.1";"0.2209";"1.0839";"0.8983"
"263357_s_at";"18457";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263358_x_at";"18458";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263359_at";"18459";"0.9956";"1.649";"0.6149";"1.5243";"0.7209"
"263360_at";"18460";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263361_at";"18461";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263362_at";"18462";"0.9972";"1.5822";"0.4975";"1.0655";"0.8585"
"263363_at";"18463";"1.006";"1.0523";"0.7642";"1.5006";"0.6218"
"263364_at";"18464";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263365_at";"18465";"1.2565";"1.0661";"0.9944";"0.1807";"0.0106"
"263366_at";"18466";"1.1264";"1.0655";"0.738";"0.807";"0.1734"
"263367_at";"18467";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263368_at";"18468";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"263369_at";"18469";"1.3897";"1.1016";"0.9725";"0.0966";"0.0036"
"263370_at";"18470";"1.1413";"1.0557";"0.774";"0.3826";"0.0427"
"263371_at";"18471";"0.8788";"0.51";"0.0594";"1.1015";"0.9871"
"263372_at";"18472";"0.8629";"0.3881";"0.0385";"1.0823";"0.9964"
"263373_at";"18473";"0.9789";"1.419";"0.3735";"1.2659";"0.4212"
"263374_at";"18474";"1";"1.2772";"0.6831";"1.2194";"0.7517"
